Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,4467,1000,dynamic
AverageOperationModel,32.0,43.4,0.3,1.0,4467,1000,dynamic
LogNormalDistributionModel,42.0,38.1,0.5,1.0,4467,1000,dynamic
CausalModel,-23.0,77.0,0.1,0.999,4467,1000,dynamic
CausalContinousModel,-7.0,83.8,0.2,0.999,4467,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4468,1000,dynamic
AverageOperationModel,20.0,47.9,0.0,0.999,4468,1000,dynamic
LogNormalDistributionModel,10.0,31.8,-0.1,0.999,4468,1000,dynamic
CausalModel,2.0,39.7,0.1,0.999,4468,1000,dynamic
CausalContinousModel,28.0,55.1,0.1,0.999,4468,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4469,1000,dynamic
AverageOperationModel,-9.0,28.5,-0.4,1.0,4469,1000,dynamic
LogNormalDistributionModel,-20.0,34.9,-0.6,0.999,4469,1000,dynamic
CausalModel,-48.0,82.6,-0.3,0.999,4469,1000,dynamic
CausalContinousModel,-17.0,33.3,-0.2,1.0,4469,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4470,1000,dynamic
AverageOperationModel,26.0,22.4,0.0,1.0,4470,1000,dynamic
LogNormalDistributionModel,1.0,29.4,0.1,0.999,4470,1000,dynamic
CausalModel,-25.0,35.3,0.1,0.999,4470,1000,dynamic
CausalContinousModel,-44.0,55.8,-0.1,0.999,4470,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4471,1000,dynamic
AverageOperationModel,44.0,37.4,-0.1,1.0,4471,1000,dynamic
LogNormalDistributionModel,-8.0,142.5,-0.3,0.999,4471,1000,dynamic
CausalModel,-16.0,95.7,0.0,0.999,4471,1000,dynamic
CausalContinousModel,-70.0,128.1,-0.4,0.999,4471,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4472,1000,dynamic
AverageOperationModel,-42.0,24.6,-0.1,1.0,4472,1000,dynamic
LogNormalDistributionModel,-34.0,41.5,-0.3,1.0,4472,1000,dynamic
CausalModel,-95.0,74.0,0.0,1.0,4472,1000,dynamic
CausalContinousModel,-90.0,62.0,-0.2,1.0,4472,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4473,1000,dynamic
AverageOperationModel,22.0,30.4,0.1,0.999,4473,1000,dynamic
LogNormalDistributionModel,7.0,29.2,0.3,0.999,4473,1000,dynamic
CausalModel,13.0,60.3,0.2,0.999,4473,1000,dynamic
CausalContinousModel,-24.0,44.0,0.0,0.999,4473,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4474,1000,dynamic
AverageOperationModel,-7.0,26.3,-0.1,1.0,4474,1000,dynamic
LogNormalDistributionModel,1.0,25.4,-0.2,1.0,4474,1000,dynamic
CausalModel,-24.0,43.9,-0.2,0.999,4474,1000,dynamic
CausalContinousModel,-42.0,44.7,0.0,1.0,4474,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4475,1000,dynamic
AverageOperationModel,9.0,25.7,0.1,1.0,4475,1000,dynamic
LogNormalDistributionModel,-17.0,44.2,-0.1,0.999,4475,1000,dynamic
CausalModel,-15.0,35.2,0.2,0.999,4475,1000,dynamic
CausalContinousModel,-5.0,32.7,0.2,1.0,4475,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4476,1000,dynamic
AverageOperationModel,1.0,25.4,-0.2,1.0,4476,1000,dynamic
LogNormalDistributionModel,30.0,60.5,0.1,0.999,4476,1000,dynamic
CausalModel,-51.0,70.2,-0.2,0.999,4476,1000,dynamic
CausalContinousModel,-34.0,34.5,-0.2,1.0,4476,1000,dynamic
TruthModel,0.0,0.0,0.0,1.0,4477,1000,dynamic
AverageOperationModel,-2.0,38.3,-0.1,1.0,4477,1000,dynamic
LogNormalDistributionModel,12.0,50.5,0.0,0.999,4477,1000,dynamic
CausalModel,-6.0,40.8,-0.2,0.999,4477,1000,dynamic
CausalContinousModel,-16.0,79.2,-0.1,0.999,4477,1000,dynamic
