Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,554,4000,fcfs
AverageOperationModel,-11.0,8.3,0.5,0.999,554,4000,fcfs
LogNormalDistributionModel,-9.0,14.2,0.6,0.998,554,4000,fcfs
CausalModel,-11.0,56.5,-0.1,0.999,554,4000,fcfs
CausalContinousModel,-17.0,65.2,0.1,0.999,554,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,555,4000,fcfs
AverageOperationModel,-4.0,7.4,0.0,0.999,555,4000,fcfs
LogNormalDistributionModel,9.0,8.8,0.0,0.999,555,4000,fcfs
CausalModel,-3.0,64.5,0.5,0.998,555,4000,fcfs
CausalContinousModel,-0.0,61.1,0.2,0.995,555,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,556,4000,fcfs
AverageOperationModel,9.0,9.6,-0.2,0.999,556,4000,fcfs
LogNormalDistributionModel,-0.0,13.7,-0.8,0.999,556,4000,fcfs
CausalModel,-0.0,65.4,-0.3,0.997,556,4000,fcfs
CausalContinousModel,-3.0,51.8,-0.2,0.999,556,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,557,4000,fcfs
AverageOperationModel,-12.0,7.7,0.2,0.999,557,4000,fcfs
LogNormalDistributionModel,9.0,13.9,-0.2,0.997,557,4000,fcfs
CausalModel,-1.0,62.4,0.8,0.999,557,4000,fcfs
CausalContinousModel,-7.0,53.9,0.1,0.998,557,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,558,4000,fcfs
AverageOperationModel,-3.0,13.0,-0.3,1.0,558,4000,fcfs
LogNormalDistributionModel,1.0,8.6,0.2,0.999,558,4000,fcfs
CausalModel,12.0,45.4,-0.2,0.999,558,4000,fcfs
CausalContinousModel,-0.0,49.0,-0.5,0.999,558,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,559,4000,fcfs
AverageOperationModel,-5.0,10.4,-0.5,0.998,559,4000,fcfs
LogNormalDistributionModel,-3.0,11.3,-0.8,0.998,559,4000,fcfs
CausalModel,3.0,41.3,-0.4,0.999,559,4000,fcfs
CausalContinousModel,11.0,32.3,-1.1,0.999,559,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,560,4000,fcfs
AverageOperationModel,-6.0,9.9,-0.3,1.0,560,4000,fcfs
LogNormalDistributionModel,-0.0,19.3,-1.1,0.997,560,4000,fcfs
CausalModel,-2.0,58.6,-0.1,0.997,560,4000,fcfs
CausalContinousModel,-3.0,54.2,0.2,0.999,560,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,561,4000,fcfs
AverageOperationModel,3.0,15.1,0.4,0.997,561,4000,fcfs
LogNormalDistributionModel,12.0,12.2,0.4,0.999,561,4000,fcfs
CausalModel,10.0,65.4,0.4,0.998,561,4000,fcfs
CausalContinousModel,2.0,81.1,0.4,0.998,561,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,562,4000,fcfs
AverageOperationModel,-10.0,8.5,-0.1,0.999,562,4000,fcfs
LogNormalDistributionModel,6.0,11.1,0.0,0.998,562,4000,fcfs
CausalModel,-13.0,63.1,0.0,0.999,562,4000,fcfs
CausalContinousModel,-6.0,55.8,-0.2,0.999,562,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,563,4000,fcfs
AverageOperationModel,-7.0,11.2,0.6,0.999,563,4000,fcfs
LogNormalDistributionModel,-2.0,13.9,0.8,0.998,563,4000,fcfs
CausalModel,8.0,64.5,0.5,0.997,563,4000,fcfs
CausalContinousModel,6.0,51.0,0.5,0.997,563,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,564,4000,fcfs
AverageOperationModel,4.0,6.3,0.1,0.999,564,4000,fcfs
LogNormalDistributionModel,1.0,6.9,0.0,0.999,564,4000,fcfs
CausalModel,7.0,55.9,0.1,0.998,564,4000,fcfs
CausalContinousModel,1.0,61.4,0.3,0.996,564,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,565,4000,fcfs
AverageOperationModel,2.0,5.6,0.2,1.0,565,4000,fcfs
LogNormalDistributionModel,-4.0,12.8,-0.1,0.998,565,4000,fcfs
CausalModel,-1.0,63.9,0.1,0.997,565,4000,fcfs
CausalContinousModel,-1.0,66.7,0.1,0.997,565,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,566,4000,fcfs
AverageOperationModel,3.0,16.6,-0.1,0.997,566,4000,fcfs
LogNormalDistributionModel,-5.0,10.8,0.2,0.998,566,4000,fcfs
CausalModel,6.0,43.3,-0.4,0.999,566,4000,fcfs
CausalContinousModel,-1.0,45.8,-0.1,0.999,566,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,567,4000,fcfs
AverageOperationModel,-5.0,7.9,-0.4,0.999,567,4000,fcfs
LogNormalDistributionModel,0.0,12.7,-0.5,0.998,567,4000,fcfs
CausalModel,2.0,45.7,0.0,0.998,567,4000,fcfs
CausalContinousModel,7.0,45.9,-0.2,0.998,567,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,568,4000,fcfs
AverageOperationModel,-1.0,15.5,-0.2,0.996,568,4000,fcfs
LogNormalDistributionModel,1.0,14.5,-0.1,0.997,568,4000,fcfs
CausalModel,3.0,38.1,-0.4,0.996,568,4000,fcfs
CausalContinousModel,3.0,34.2,0.0,0.995,568,4000,fcfs
