Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,4000,fcfs
AverageOperationModel,-11.0,8.3,0.5,0.999,0.822,1.0,1.0,0.997,554,4000,fcfs
LogNormalDistributionModel,-9.0,14.2,0.6,0.998,0.78,1.0,1.0,0.995,554,4000,fcfs
CausalModel,-11.0,56.5,-0.1,0.999,0.867,1.0,1.0,0.998,554,4000,fcfs
CausalContinousModel,-15.0,68.0,0.0,0.998,0.716,1.0,1.0,0.994,554,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,555,4000,fcfs
AverageOperationModel,-4.0,7.4,0.0,0.999,0.847,1.0,1.0,0.997,555,4000,fcfs
LogNormalDistributionModel,9.0,8.8,0.0,0.999,0.796,1.0,1.0,0.997,555,4000,fcfs
CausalModel,-3.0,64.5,0.5,0.998,0.718,1.0,1.0,0.993,555,4000,fcfs
CausalContinousModel,1.0,64.5,0.2,0.997,0.696,1.0,1.0,0.99,555,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,556,4000,fcfs
AverageOperationModel,9.0,9.6,-0.2,0.999,0.867,1.0,1.0,0.998,556,4000,fcfs
LogNormalDistributionModel,-0.0,13.7,-0.8,0.999,0.878,1.0,1.0,0.998,556,4000,fcfs
CausalModel,-0.0,65.4,-0.3,0.997,0.689,1.0,1.0,0.992,556,4000,fcfs
CausalContinousModel,4.0,58.7,-0.3,0.998,0.727,1.0,1.0,0.993,556,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,557,4000,fcfs
AverageOperationModel,-12.0,7.7,0.2,0.999,0.867,1.0,1.0,0.998,557,4000,fcfs
LogNormalDistributionModel,9.0,13.9,-0.2,0.997,0.7,1.0,1.0,0.992,557,4000,fcfs
CausalModel,-1.0,62.4,0.8,0.999,0.769,1.0,1.0,0.996,557,4000,fcfs
CausalContinousModel,-6.0,57.4,-0.1,0.999,0.789,1.0,1.0,0.997,557,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,558,4000,fcfs
AverageOperationModel,-3.0,13.0,-0.3,1.0,0.929,1.0,1.0,0.999,558,4000,fcfs
LogNormalDistributionModel,1.0,8.6,0.2,0.999,0.789,1.0,1.0,0.996,558,4000,fcfs
CausalModel,12.0,45.4,-0.2,0.999,0.807,1.0,1.0,0.996,558,4000,fcfs
CausalContinousModel,0.0,55.1,-0.4,0.999,0.842,1.0,1.0,0.997,558,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,559,4000,fcfs
AverageOperationModel,-5.0,10.4,-0.5,0.998,0.813,1.0,1.0,0.995,559,4000,fcfs
LogNormalDistributionModel,-3.0,11.3,-0.8,0.998,0.738,1.0,1.0,0.994,559,4000,fcfs
CausalModel,3.0,41.3,-0.4,0.999,0.824,1.0,1.0,0.996,559,4000,fcfs
CausalContinousModel,11.0,41.2,-1.0,0.999,0.809,1.0,1.0,0.996,559,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,560,4000,fcfs
AverageOperationModel,-6.0,9.9,-0.3,1.0,0.893,1.0,1.0,0.999,560,4000,fcfs
LogNormalDistributionModel,-0.0,19.3,-1.1,0.997,0.702,1.0,1.0,0.992,560,4000,fcfs
CausalModel,-2.0,58.6,-0.1,0.997,0.698,1.0,1.0,0.992,560,4000,fcfs
CausalContinousModel,-1.0,66.1,0.2,0.999,0.836,1.0,1.0,0.998,560,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,561,4000,fcfs
AverageOperationModel,3.0,15.1,0.4,0.997,0.742,1.0,1.0,0.991,561,4000,fcfs
LogNormalDistributionModel,12.0,12.2,0.4,0.999,0.76,1.0,1.0,0.996,561,4000,fcfs
