Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,-21.0,25.0,-0.2,0.999,5457,2000,fcfs
LogNormalDistributionModel,-4.0,5.1,0.0,0.998,5457,2000,fcfs
CausalModel,-2.0,5.2,-0.1,0.999,5457,2000,fcfs
CausalContinousModel,-4.0,5.5,-0.2,0.998,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,-15.0,25.0,-0.3,0.996,5458,2000,fcfs
LogNormalDistributionModel,8.0,9.6,-0.2,0.995,5458,2000,fcfs
CausalModel,3.0,10.2,-0.2,0.995,5458,2000,fcfs
CausalContinousModel,0.0,8.0,-0.3,0.996,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,9.0,7.6,-0.1,0.999,5459,2000,fcfs
LogNormalDistributionModel,-1.0,6.6,-0.2,0.997,5459,2000,fcfs
CausalModel,-7.0,6.3,0.1,0.998,5459,2000,fcfs
CausalContinousModel,-11.0,7.9,-0.1,0.997,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,-18.0,24.0,-0.2,0.997,5460,2000,fcfs
LogNormalDistributionModel,-7.0,7.2,-0.3,0.998,5460,2000,fcfs
CausalModel,5.0,6.8,-0.1,0.997,5460,2000,fcfs
CausalContinousModel,-4.0,6.2,-0.1,0.997,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,56.0,28.0,-0.1,0.998,5461,2000,fcfs
LogNormalDistributionModel,4.0,4.9,0.0,0.998,5461,2000,fcfs
CausalModel,-5.0,8.4,-0.1,0.999,5461,2000,fcfs
CausalContinousModel,3.0,3.7,0.0,0.999,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,7.0,12.3,-0.1,0.998,5462,2000,fcfs
LogNormalDistributionModel,-4.0,4.9,0.1,0.998,5462,2000,fcfs
CausalModel,-3.0,8.4,0.0,0.997,5462,2000,fcfs
CausalContinousModel,-18.0,12.6,-0.3,0.996,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,-8.0,17.4,0.0,0.997,5463,2000,fcfs
LogNormalDistributionModel,-7.0,6.5,0.0,0.997,5463,2000,fcfs
CausalModel,19.0,10.6,0.1,0.997,5463,2000,fcfs
CausalContinousModel,13.0,8.2,0.2,0.997,5463,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5464,2000,fcfs
AverageOperationModel,23.0,11.7,-0.3,0.999,5464,2000,fcfs
LogNormalDistributionModel,-6.0,6.1,-0.3,0.997,5464,2000,fcfs
CausalModel,8.0,5.8,-0.3,0.999,5464,2000,fcfs
CausalContinousModel,-0.0,7.1,-0.4,0.998,5464,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5465,2000,fcfs
AverageOperationModel,15.0,13.8,0.0,0.994,5465,2000,fcfs
LogNormalDistributionModel,10.0,6.8,0.1,0.999,5465,2000,fcfs
CausalModel,-0.0,8.7,0.1,0.996,5465,2000,fcfs
CausalContinousModel,-2.0,4.5,0.2,0.998,5465,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5466,2000,fcfs
AverageOperationModel,-20.0,24.2,-0.2,0.998,5466,2000,fcfs
LogNormalDistributionModel,-18.0,9.4,-0.4,0.998,5466,2000,fcfs
CausalModel,-3.0,4.9,0.1,0.999,5466,2000,fcfs
CausalContinousModel,-8.0,6.4,-0.1,0.998,5466,2000,fcfs
