Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,2.0,19.0,-0.8,0.998,5457,2000,fcfs
LogNormalDistributionModel,-6.0,23.4,-0.2,0.997,5457,2000,fcfs
CausalModel,-11.0,18.7,-0.6,0.998,5457,2000,fcfs
CausalContinousModel,-15.0,21.3,-1.0,0.997,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,3.0,12.2,-0.8,0.999,5458,2000,fcfs
LogNormalDistributionModel,-10.0,14.2,-0.6,0.998,5458,2000,fcfs
CausalModel,32.0,40.9,-0.2,0.994,5458,2000,fcfs
CausalContinousModel,4.0,21.3,-0.7,0.997,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,18.0,21.3,-0.4,0.998,5459,2000,fcfs
LogNormalDistributionModel,5.0,20.4,-0.6,0.998,5459,2000,fcfs
CausalModel,25.0,27.0,0.3,0.996,5459,2000,fcfs
CausalContinousModel,-11.0,29.5,-0.4,0.996,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,18.0,16.6,-0.4,0.999,5460,2000,fcfs
LogNormalDistributionModel,-14.0,25.6,-0.8,0.997,5460,2000,fcfs
CausalModel,-2.0,13.7,-0.1,0.999,5460,2000,fcfs
CausalContinousModel,-22.0,17.0,-0.2,0.999,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,-9.0,14.8,-0.7,0.998,5461,2000,fcfs
LogNormalDistributionModel,-35.0,21.2,-0.5,0.999,5461,2000,fcfs
CausalModel,61.0,36.3,-0.6,0.998,5461,2000,fcfs
CausalContinousModel,40.0,20.3,-0.4,0.999,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,16.0,13.1,0.1,0.999,5462,2000,fcfs
LogNormalDistributionModel,16.0,15.7,1.2,0.999,5462,2000,fcfs
CausalModel,14.0,17.4,0.3,0.998,5462,2000,fcfs
CausalContinousModel,-50.0,43.6,-0.4,0.995,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,10.0,13.4,-0.2,0.999,5463,2000,fcfs
LogNormalDistributionModel,-21.0,34.4,0.0,0.995,5463,2000,fcfs
CausalModel,-20.0,16.0,0.2,0.999,5463,2000,fcfs
CausalContinousModel,-22.0,19.8,0.2,0.997,5463,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5464,2000,fcfs
AverageOperationModel,17.0,20.2,-1.2,0.998,5464,2000,fcfs
LogNormalDistributionModel,13.0,15.0,-1.4,0.999,5464,2000,fcfs
CausalModel,19.0,21.2,-1.2,0.998,5464,2000,fcfs
CausalContinousModel,14.0,30.8,-1.3,0.996,5464,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5465,2000,fcfs
AverageOperationModel,-10.0,23.8,0.0,0.996,5465,2000,fcfs
LogNormalDistributionModel,34.0,24.5,0.5,0.998,5465,2000,fcfs
CausalModel,-29.0,19.2,0.5,0.998,5465,2000,fcfs
CausalContinousModel,-30.0,17.8,0.6,0.999,5465,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5466,2000,fcfs
AverageOperationModel,-12.0,22.8,-0.8,0.997,5466,2000,fcfs
LogNormalDistributionModel,4.0,16.7,-1.4,0.998,5466,2000,fcfs
CausalModel,2.0,22.9,0.2,0.997,5466,2000,fcfs
CausalContinousModel,-23.0,19.1,-0.7,0.999,5466,2000,fcfs
