Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,165.0,187.5,0.1,1.0,5457,2000,fcfs
LogNormalDistributionModel,-22.0,31.8,0.1,1.0,5457,2000,fcfs
CausalModel,2.0,57.8,-0.1,1.0,5457,2000,fcfs
CausalContinousModel,-12.0,45.6,0.2,1.0,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,91.0,94.0,0.0,1.0,5458,2000,fcfs
LogNormalDistributionModel,-37.0,42.8,-0.1,1.0,5458,2000,fcfs
CausalModel,-17.0,66.2,0.1,1.0,5458,2000,fcfs
CausalContinousModel,-30.0,41.6,-0.0,1.0,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,-42.0,69.0,0.2,1.0,5459,2000,fcfs
LogNormalDistributionModel,-113.0,131.2,0.0,1.0,5459,2000,fcfs
CausalModel,-34.0,55.8,0.0,1.0,5459,2000,fcfs
CausalContinousModel,-188.0,265.9,0.1,1.0,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,0.0,141.8,-0.1,1.0,5460,2000,fcfs
LogNormalDistributionModel,0.0,25.2,-0.1,1.0,5460,2000,fcfs
CausalModel,-0.0,83.1,-0.1,1.0,5460,2000,fcfs
CausalContinousModel,-0.0,55.5,-0.1,1.0,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,-38.0,59.2,-0.1,1.0,5461,2000,fcfs
LogNormalDistributionModel,-2.0,27.0,-0.1,1.0,5461,2000,fcfs
CausalModel,-150.0,135.6,-0.1,1.0,5461,2000,fcfs
CausalContinousModel,-98.0,87.7,-0.2,1.0,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,28.0,131.8,0.1,1.0,5462,2000,fcfs
LogNormalDistributionModel,-1.0,22.2,0.1,1.0,5462,2000,fcfs
CausalModel,-41.0,96.4,-0.1,1.0,5462,2000,fcfs
CausalContinousModel,1.0,43.9,0.2,1.0,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,-377.0,231.6,0.7,0.999,5463,2000,fcfs
LogNormalDistributionModel,18.0,53.8,0.7,1.0,5463,2000,fcfs
CausalModel,84.0,59.2,0.2,1.0,5463,2000,fcfs
CausalContinousModel,210.0,106.9,0.6,1.0,5463,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5464,2000,fcfs
AverageOperationModel,127.0,181.0,0.2,1.0,5464,2000,fcfs
LogNormalDistributionModel,-14.0,48.3,0.2,1.0,5464,2000,fcfs
CausalModel,-28.0,48.5,-0.1,1.0,5464,2000,fcfs
CausalContinousModel,-18.0,26.7,0.2,1.0,5464,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5465,2000,fcfs
AverageOperationModel,29.0,144.0,0.4,1.0,5465,2000,fcfs
LogNormalDistributionModel,-16.0,54.7,0.6,1.0,5465,2000,fcfs
CausalModel,-28.0,43.8,0.2,1.0,5465,2000,fcfs
CausalContinousModel,-26.0,39.7,0.3,1.0,5465,2000,fcfs
