Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,554,4000,fcfs
AverageOperationModel,-8.0,6.7,0.2,0.997,0.724,1.0,1.0,0.991,554,4000,fcfs
LogNormalDistributionModel,2.0,8.7,0.3,0.999,0.78,1.0,1.0,0.996,554,4000,fcfs
CausalModel,-7.0,27.0,-0.1,0.997,0.742,1.0,1.0,0.992,554,4000,fcfs
CausalContinousModel,-4.0,33.5,0.0,0.998,0.731,1.0,1.0,0.993,554,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,555,4000,fcfs
AverageOperationModel,-8.0,9.2,0.0,0.996,0.682,1.0,1.0,0.987,555,4000,fcfs
LogNormalDistributionModel,-3.0,6.1,0.1,0.998,0.747,1.0,1.0,0.993,555,4000,fcfs
CausalModel,-4.0,32.5,0.3,0.998,0.713,1.0,1.0,0.993,555,4000,fcfs
CausalContinousModel,-2.0,31.7,0.0,0.996,0.676,1.0,1.0,0.987,555,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,556,4000,fcfs
AverageOperationModel,-3.0,4.6,-0.1,0.998,0.791,1.0,1.0,0.994,556,4000,fcfs
LogNormalDistributionModel,2.0,6.0,-0.4,0.999,0.9,1.0,1.0,0.998,556,4000,fcfs
CausalModel,-1.0,32.6,-0.1,0.996,0.669,1.0,1.0,0.989,556,4000,fcfs
CausalContinousModel,4.0,27.4,-0.2,0.999,0.889,1.0,1.0,0.998,556,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,557,4000,fcfs
AverageOperationModel,-6.0,5.9,0.1,0.997,0.731,1.0,1.0,0.992,557,4000,fcfs
LogNormalDistributionModel,1.0,4.5,0.0,0.998,0.72,1.0,1.0,0.995,557,4000,fcfs
CausalModel,-4.0,31.4,0.5,0.997,0.689,1.0,1.0,0.992,557,4000,fcfs
CausalContinousModel,-4.0,28.1,0.0,0.997,0.698,1.0,1.0,0.992,557,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,558,4000,fcfs
AverageOperationModel,-0.0,7.6,-0.2,0.999,0.842,1.0,1.0,0.997,558,4000,fcfs
LogNormalDistributionModel,2.0,5.2,0.1,0.999,0.791,1.0,1.0,0.996,558,4000,fcfs
CausalModel,7.0,21.0,-0.2,0.999,0.798,1.0,1.0,0.997,558,4000,fcfs
CausalContinousModel,1.0,26.7,-0.3,0.999,0.782,1.0,1.0,0.996,558,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,559,4000,fcfs
AverageOperationModel,-2.0,7.7,-0.2,0.999,0.873,1.0,1.0,0.998,559,4000,fcfs
LogNormalDistributionModel,-1.0,6.3,-0.3,0.997,0.736,1.0,1.0,0.992,559,4000,fcfs
CausalModel,0.0,20.3,-0.1,0.999,0.78,1.0,1.0,0.996,559,4000,fcfs
CausalContinousModel,1.0,21.9,-0.5,0.999,0.902,1.0,1.0,0.998,559,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,560,4000,fcfs
AverageOperationModel,-2.0,7.8,-0.2,0.999,0.844,1.0,1.0,0.997,560,4000,fcfs
LogNormalDistributionModel,1.0,14.6,-0.7,0.997,0.673,1.0,1.0,0.991,560,4000,fcfs
CausalModel,-1.0,26.7,-0.1,0.996,0.667,1.0,1.0,0.989,560,4000,fcfs
CausalContinousModel,2.0,26.6,0.0,0.997,0.718,1.0,1.0,0.991,560,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,561,4000,fcfs
AverageOperationModel,-4.0,5.8,0.1,0.999,0.818,1.0,1.0,0.996,561,4000,fcfs
LogNormalDistributionModel,-1.0,7.3,0.0,0.998,0.709,1.0,1.0,0.993,561,4000,fcfs
CausalModel,4.0,28.9,0.1,0.999,0.809,1.0,1.0,0.996,561,4000,fcfs
CausalContinousModel,-2.0,42.0,0.1,0.998,0.749,1.0,1.0,0.995,561,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,562,4000,fcfs
AverageOperationModel,0.0,7.3,-0.2,0.997,0.76,1.0,1.0,0.991,562,4000,fcfs
LogNormalDistributionModel,0.0,10.8,-0.1,0.996,0.704,1.0,1.0,0.989,562,4000,fcfs
CausalModel,4.0,25.7,-0.2,0.997,0.689,1.0,1.0,0.99,562,4000,fcfs
CausalContinousModel,6.0,27.5,-0.2,0.997,0.727,1.0,1.0,0.99,562,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,563,4000,fcfs
AverageOperationModel,-1.0,4.4,0.2,0.999,0.813,1.0,1.0,0.997,563,4000,fcfs
LogNormalDistributionModel,10.0,7.5,0.3,0.998,0.749,1.0,1.0,0.995,563,4000,fcfs
CausalModel,2.0,29.3,0.2,0.999,0.782,1.0,1.0,0.996,563,4000,fcfs
CausalContinousModel,2.0,28.6,0.2,0.999,0.822,1.0,1.0,0.997,563,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,564,4000,fcfs
AverageOperationModel,-2.0,5.1,0.0,0.998,0.76,1.0,1.0,0.993,564,4000,fcfs
LogNormalDistributionModel,1.0,7.8,0.0,0.997,0.7,1.0,1.0,0.992,564,4000,fcfs
CausalModel,2.0,26.0,0.0,0.999,0.778,1.0,1.0,0.996,564,4000,fcfs
CausalContinousModel,1.0,34.5,0.1,0.999,0.764,1.0,1.0,0.997,564,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,565,4000,fcfs
AverageOperationModel,-3.0,3.6,0.1,0.999,0.882,1.0,1.0,0.998,565,4000,fcfs
LogNormalDistributionModel,-1.0,7.8,0.0,0.998,0.707,1.0,1.0,0.993,565,4000,fcfs
CausalModel,-1.0,29.4,0.0,1.0,0.902,1.0,1.0,0.999,565,4000,fcfs
CausalContinousModel,0.0,32.8,0.1,0.997,0.72,1.0,1.0,0.991,565,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,566,4000,fcfs
AverageOperationModel,-3.0,6.2,-0.2,0.999,0.893,1.0,1.0,0.998,566,4000,fcfs
LogNormalDistributionModel,-2.0,7.3,0.1,0.998,0.707,1.0,1.0,0.993,566,4000,fcfs
CausalModel,-0.0,19.2,-0.4,0.997,0.698,1.0,1.0,0.99,566,4000,fcfs
CausalContinousModel,-1.0,24.8,-0.2,0.999,0.782,1.0,1.0,0.997,566,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,567,4000,fcfs
AverageOperationModel,-2.0,6.7,-0.2,0.999,0.78,1.0,1.0,0.996,567,4000,fcfs
LogNormalDistributionModel,-1.0,11.4,-0.3,0.995,0.669,1.0,1.0,0.986,567,4000,fcfs
CausalModel,-1.0,24.1,0.1,0.997,0.698,1.0,1.0,0.99,567,4000,fcfs
CausalContinousModel,3.0,27.1,-0.2,0.998,0.72,1.0,1.0,0.995,567,4000,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,568,4000,fcfs
AverageOperationModel,-6.0,8.0,-0.2,0.999,0.818,1.0,1.0,0.996,568,4000,fcfs
LogNormalDistributionModel,-2.0,6.2,-0.3,0.998,0.76,1.0,1.0,0.995,568,4000,fcfs
CausalModel,-4.0,20.7,-0.3,0.998,0.778,1.0,1.0,0.995,568,4000,fcfs
CausalContinousModel,0.0,20.0,-0.1,0.999,0.847,1.0,1.0,0.997,568,4000,fcfs
