Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,101.0,228.8,0.9,1.0,5457,2000,fcfs
LogNormalDistributionModel,-108.0,122.2,0.9,1.0,5457,2000,fcfs
CausalModel,-65.0,87.8,0.1,1.0,5457,2000,fcfs
CausalContinousModel,-110.0,85.0,0.8,1.0,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,-34.0,63.2,0.6,1.0,5458,2000,fcfs
LogNormalDistributionModel,-9.0,70.8,0.4,1.0,5458,2000,fcfs
CausalModel,22.0,28.8,-0.1,1.0,5458,2000,fcfs
CausalContinousModel,-38.0,68.2,0.7,1.0,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,498.0,246.6,0.4,1.0,5459,2000,fcfs
LogNormalDistributionModel,-584.0,321.1,0.0,0.999,5459,2000,fcfs
CausalModel,-528.0,280.9,-0.3,1.0,5459,2000,fcfs
CausalContinousModel,-335.0,191.8,0.2,1.0,5459,2000,fcfs
