Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,-22.0,25.3,0.0,0.999,5457,2000,fcfs
LogNormalDistributionModel,-81.0,51.2,-0.7,0.998,5457,2000,fcfs
CausalModel,-45.0,37.4,-0.3,0.999,5457,2000,fcfs
CausalContinousModel,-30.0,49.3,-0.4,1.0,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,10.0,30.6,-1.4,0.999,5458,2000,fcfs
LogNormalDistributionModel,141.0,74.9,-1.7,0.998,5458,2000,fcfs
CausalModel,29.0,35.1,-1.7,0.999,5458,2000,fcfs
CausalContinousModel,87.0,58.0,-1.0,0.998,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,-30.0,17.8,0.4,1.0,5459,2000,fcfs
LogNormalDistributionModel,-3.0,20.4,0.9,1.0,5459,2000,fcfs
CausalModel,-93.0,43.2,-0.9,0.999,5459,2000,fcfs
CausalContinousModel,-8.0,27.3,0.7,1.0,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,-21.0,19.5,0.9,1.0,5460,2000,fcfs
LogNormalDistributionModel,13.0,23.5,0.9,0.999,5460,2000,fcfs
CausalModel,83.0,48.1,1.0,0.999,5460,2000,fcfs
CausalContinousModel,25.0,44.1,-0.8,0.999,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,23.0,20.7,1.7,0.999,5461,2000,fcfs
LogNormalDistributionModel,29.0,25.3,1.2,0.999,5461,2000,fcfs
CausalModel,-22.0,34.2,0.8,0.999,5461,2000,fcfs
CausalContinousModel,-42.0,26.1,0.1,0.999,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,-7.0,17.1,1.3,1.0,5462,2000,fcfs
LogNormalDistributionModel,-1.0,32.9,0.1,0.999,5462,2000,fcfs
CausalModel,-51.0,48.1,-1.5,0.999,5462,2000,fcfs
CausalContinousModel,-16.0,28.9,1.7,0.999,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,-23.0,20.7,-1.8,1.0,5463,2000,fcfs
LogNormalDistributionModel,-26.0,38.1,-0.6,0.999,5463,2000,fcfs
CausalModel,-68.0,48.1,-1.6,0.999,5463,2000,fcfs
CausalContinousModel,40.0,32.7,-1.8,0.999,5463,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5464,2000,fcfs
AverageOperationModel,12.0,38.5,0.4,0.999,5464,2000,fcfs
LogNormalDistributionModel,-32.0,21.8,0.0,0.999,5464,2000,fcfs
CausalModel,83.0,61.7,-1.0,0.998,5464,2000,fcfs
CausalContinousModel,64.0,40.4,1.1,0.999,5464,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5465,2000,fcfs
AverageOperationModel,27.0,19.1,-0.1,1.0,5465,2000,fcfs
LogNormalDistributionModel,-111.0,49.2,-0.8,0.999,5465,2000,fcfs
CausalModel,-10.0,39.6,-0.3,0.999,5465,2000,fcfs
CausalContinousModel,4.0,22.2,-0.9,0.999,5465,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5466,2000,fcfs
AverageOperationModel,-2.0,19.2,-1.1,0.999,5466,2000,fcfs
LogNormalDistributionModel,-16.0,43.7,-1.5,0.999,5466,2000,fcfs
CausalModel,-5.0,39.8,-2.2,1.0,5466,2000,fcfs
CausalContinousModel,-0.0,18.1,-1.9,1.0,5466,2000,fcfs
