Model,makespan (over all),avg abs start deviation,avg duration deviation,overall_sequence_similarity,seed,instance,priority_rule
TruthModel,0.0,0.0,0.0,1.0,5457,2000,fcfs
AverageOperationModel,10.0,18.4,-0.4,0.995,5457,2000,fcfs
LogNormalDistributionModel,9.0,7.8,-0.1,0.999,5457,2000,fcfs
CausalModel,-4.0,11.2,-0.3,0.998,5457,2000,fcfs
CausalContinousModel,-18.0,18.4,-0.6,0.995,5457,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5458,2000,fcfs
AverageOperationModel,25.0,15.5,-0.5,0.997,5458,2000,fcfs
LogNormalDistributionModel,0.0,14.3,-0.5,0.996,5458,2000,fcfs
CausalModel,30.0,19.0,-0.2,0.996,5458,2000,fcfs
CausalContinousModel,19.0,13.3,-0.3,0.997,5458,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5459,2000,fcfs
AverageOperationModel,-4.0,16.9,-0.3,0.996,5459,2000,fcfs
LogNormalDistributionModel,-6.0,8.3,-0.4,0.998,5459,2000,fcfs
CausalModel,-10.0,18.5,0.1,0.995,5459,2000,fcfs
CausalContinousModel,-28.0,20.4,-0.2,0.995,5459,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5460,2000,fcfs
AverageOperationModel,1.0,13.5,-0.2,0.997,5460,2000,fcfs
LogNormalDistributionModel,-26.0,16.7,-0.4,0.998,5460,2000,fcfs
CausalModel,9.0,10.5,-0.1,0.998,5460,2000,fcfs
CausalContinousModel,-2.0,8.4,-0.2,0.998,5460,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5461,2000,fcfs
AverageOperationModel,-8.0,9.7,-0.2,0.998,5461,2000,fcfs
LogNormalDistributionModel,23.0,14.9,-0.2,0.997,5461,2000,fcfs
CausalModel,9.0,13.5,-0.1,0.997,5461,2000,fcfs
CausalContinousModel,-24.0,13.6,0.0,0.998,5461,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5462,2000,fcfs
AverageOperationModel,-6.0,12.2,0.1,0.997,5462,2000,fcfs
LogNormalDistributionModel,9.0,14.2,0.7,0.997,5462,2000,fcfs
CausalModel,2.0,10.7,0.2,0.998,5462,2000,fcfs
CausalContinousModel,-28.0,19.4,-0.1,0.997,5462,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5463,2000,fcfs
AverageOperationModel,14.0,19.0,-0.1,0.998,5463,2000,fcfs
LogNormalDistributionModel,-22.0,20.8,-0.1,0.994,5463,2000,fcfs
CausalModel,17.0,12.9,0.1,0.997,5463,2000,fcfs
CausalContinousModel,14.0,8.6,0.1,0.999,5463,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5464,2000,fcfs
AverageOperationModel,4.0,12.7,-0.6,0.998,5464,2000,fcfs
LogNormalDistributionModel,6.0,8.2,-0.7,0.998,5464,2000,fcfs
CausalModel,14.0,10.8,-0.6,0.999,5464,2000,fcfs
CausalContinousModel,5.0,11.5,-0.6,0.999,5464,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5465,2000,fcfs
AverageOperationModel,-20.0,17.5,0.1,0.996,5465,2000,fcfs
LogNormalDistributionModel,9.0,15.5,0.4,0.996,5465,2000,fcfs
CausalModel,-29.0,15.1,0.4,0.998,5465,2000,fcfs
CausalContinousModel,-31.0,16.1,0.4,0.997,5465,2000,fcfs
TruthModel,0.0,0.0,0.0,1.0,5466,2000,fcfs
AverageOperationModel,16.0,14.7,-0.4,0.999,5466,2000,fcfs
LogNormalDistributionModel,6.0,9.2,-0.7,0.998,5466,2000,fcfs
CausalModel,13.0,9.7,0.1,0.998,5466,2000,fcfs
CausalContinousModel,14.0,9.6,-0.3,0.999,5466,2000,fcfs
