,last_tool_change,relative_processing_time_deviation,machine_status,cleaning
0,True,0.8202534616877709,0,1
1,True,0.8759859303905905,0,0
2,True,1.1382735411704537,1,0
3,False,0.9746482534210441,0,0
4,False,0.9121493104947516,0,0
5,False,1.071623371454432,0,0
6,False,1.076957114275677,0,0
7,False,1.02603536482527,0,0
8,False,0.9698068825007957,0,0
9,False,0.9917485382356283,0,0
10,False,0.9213442199793573,0,0
11,False,1.1496831728858745,0,0
12,True,0.9519503022071717,1,1
13,True,0.9696867603234347,1,0
14,False,0.8897830695144741,0,0
15,True,0.9379463815714695,1,0
16,True,1.0269697754343585,1,0
17,False,0.8857396973811834,0,0
18,False,1.1631832731245155,0,0
19,False,1.0704698116078892,0,0
20,False,1.0306783114201585,1,0
21,False,1.063670508797398,0,0
22,False,0.9063636966530633,1,0
23,False,0.8894966165708852,0,0
24,False,0.8129351412423838,0,0
25,False,0.9916325429725991,0,1
26,False,0.9832923649563404,0,0
27,False,0.9438516831235875,1,0
28,False,1.0272058243323734,0,0
29,False,0.9723576832141373,0,0
30,True,1.1691152372772162,0,1
31,True,1.102370522904181,1,0
32,True,1.1458097132133525,1,1
33,True,0.8722779768677371,0,1
34,False,0.998758473851038,1,0
35,False,1.0431972738927764,0,0
36,False,1.0970948333560033,0,0
37,False,0.9340405734566456,0,0
38,False,1.1629048318137358,0,1
39,False,0.9525941366940603,0,1
40,False,0.7648510935344073,0,1
41,False,1.1516113276084075,0,0
42,True,1.15567544592426,1,1
43,True,0.9088527332547189,1,0
44,True,0.9481959388697375,1,0
45,True,1.0248263083090896,1,1
46,False,0.6432196761736055,1,0
47,False,0.868686118004984,0,0
48,False,1.0584647977988346,0,0
49,False,1.2337163364674009,0,1
50,False,0.9107575635395495,1,0
51,False,0.8527006126495665,1,0
52,False,1.1321773287152503,0,0
53,False,1.129663556411043,1,0
54,False,0.8963815884362819,0,0
55,False,0.9003610030723936,0,0
56,False,1.0189895290648274,0,0
57,False,0.9513929829147075,0,0
58,False,0.8225197379714527,0,1
59,False,1.0624929773767116,0,1
60,False,0.819087005831412,0,0
61,False,1.173444953542007,1,0
62,False,1.0832483621298468,0,0
63,False,1.0315174803520972,1,0
64,False,1.0253026714619367,0,0
65,False,1.0154400427213455,0,1
66,False,0.9807732567196651,0,0
67,False,0.7672824805249804,0,0
68,False,1.0437745039630433,0,0
69,False,1.013751353186557,0,0
70,False,1.1560588702695653,0,0
71,False,1.0872056631187148,0,0
72,False,0.9905297936116793,0,0
73,False,0.9630705178816978,0,0
74,True,0.8966814808648861,0,1
75,True,0.89703690408747,0,0
76,True,0.830704833892183,0,1
77,False,0.9488913366277468,0,0
78,True,0.9278340095632156,1,0
79,True,1.180190488066869,0,0
