,last_tool_change,relative_processing_time_deviation,machine_state,cleaning
0,True,0.6914601701119008,1,1
1,True,1.0536602204748493,1,0
2,True,1.1006197207094504,0,1
3,True,1.6497505385479447,0,0
4,False,1.7575972674301563,0,0
5,False,1.5572100548548178,0,0
6,True,0.719677264077376,1,1
7,False,1.6977854915699448,0,0
8,True,1.6024641066606131,0,0
9,True,1.7003912390734608,0,0
10,True,0.9531439914449902,1,0
11,False,1.802778666359144,0,0
12,False,1.0243776991502205,0,1
13,False,1.6555492137561105,0,0
14,False,1.0930587719540277,0,1
15,False,1.7664434434510423,0,0
16,True,0.9963166788404352,1,0
17,True,0.7354978165613254,1,1
18,True,0.9571327369919109,1,0
19,True,1.7500991050811852,0,0
20,False,1.6979442968500527,0,0
21,False,1.4984420599285624,0,0
22,True,0.7298359571437452,1,1
23,False,1.6651824058356626,0,0
24,True,0.8868789692775209,1,0
25,True,1.6976353570213474,0,0
26,True,0.9291412077325193,0,1
27,False,1.7455975565630955,0,0
28,False,1.037889921072107,0,1
29,True,0.6051534678223889,1,1
30,True,0.9759077802754075,1,0
31,True,0.7579238169696074,1,1
32,True,1.6205834025406805,0,0
33,False,1.92789541935359,0,0
34,False,1.7099719755738978,0,0
35,True,0.8300266231415783,1,0
36,False,1.6131964859873023,0,0
37,False,1.7134565535991813,0,0
38,False,1.942881735375047,0,0
39,True,0.9302472206845428,0,1
40,True,0.4982418615310915,1,1
41,False,0.9789986214563732,1,0
42,False,1.833899039746105,0,0
43,True,1.0221091398280353,1,0
44,True,0.9738077212419324,1,0
45,True,0.8277257653643032,1,0
46,False,1.7433085263745232,0,0
47,False,1.6868053393029192,0,0
48,False,1.8323473824636811,0,0
49,True,1.7273133384097203,0,0
50,False,1.5975449210527377,0,0
51,False,1.6017710526121376,0,0
52,True,1.519820307593712,0,0
53,False,1.540608372067858,0,0
54,False,1.1793252481068948,1,0
55,False,1.8004855040836019,0,0
56,False,1.2178231795084355,0,1
