,0,1
0,p3,1
1,p4,1
2,p3,1
3,p3,2
4,p4,1
5,p4,2
6,p1,1
7,p3,2
8,p3,1
9,p1,2
10,p4,1
11,p4,2
12,p4,1
13,p4,2
14,p3,1
15,p3,2
16,p2,1
17,p4,2
18,p3,1
19,p3,2
20,p2,1
21,p2,2
22,p4,1
23,p2,2
24,p3,1
25,p3,2
26,p2,1
27,p4,2
28,p3,1
29,p3,2
30,p4,1
31,p3,1
32,p2,2
33,p3,2
34,p1,1
35,p3,2
36,p2,1
37,p4,2
38,p2,1
39,p2,1
40,p1,1
41,p2,2
42,p2,2
43,p2,1
44,p1,1
45,p4,1
46,p1,2
47,p2,2
48,p4,1
49,p1,2
50,p3,1
51,p2,2
52,p2,1
53,p4,2
54,p1,1
55,p3,1
56,p1,2
57,p4,1
58,p4,2
59,p3,1
60,p2,1
61,p3,2
62,p1,2
63,p1,1
64,p2,2
65,p4,1
66,p3,2
67,p4,1
68,p1,1
69,p4,2
70,p4,1
71,p3,2
72,p3,1
73,p2,2
74,p4,2
75,p4,1
76,p1,2
77,p4,2
78,p3,1
79,p4,1
80,p1,2
81,p4,2
82,p3,1
83,p2,1
84,p3,2
85,p4,2
86,p1,1
87,p3,2
88,p4,2
89,p1,1
90,p3,2
91,p2,2
92,p1,1
93,p1,2
94,p1,2
95,p3,1
96,p1,2
97,p3,1
98,p3,2
99,p3,2
