,0,1
0,p3,1
1,p2,1
2,p3,1
3,p3,2
4,p4,1
5,p2,2
6,p3,1
7,p3,2
8,p2,1
9,p4,2
10,p1,1
11,p3,2
12,p2,1
13,p2,2
14,p3,1
15,p1,2
16,p1,1
17,p3,2
18,p4,1
19,p3,1
20,p2,2
21,p2,1
22,p1,1
23,p1,2
24,p4,2
25,p3,1
26,p4,1
27,p3,2
28,p3,1
29,p1,2
30,p2,2
31,p4,1
32,p1,1
33,p3,2
34,p2,1
35,p1,1
36,p4,2
37,p3,2
38,p3,1
39,p2,1
40,p4,2
41,p1,2
42,p2,1
43,p1,2
44,p3,1
45,p2,2
46,p2,2
47,p3,1
48,p2,1
49,p3,2
50,p1,1
51,p3,2
52,p2,2
53,p3,1
54,p3,2
55,p4,1
56,p1,2
57,p2,2
58,p1,1
59,p3,2
60,p2,1
61,p4,2
62,p1,1
63,p2,1
64,p1,2
65,p2,2
66,p3,1
67,p1,2
68,p2,1
69,p2,2
70,p1,1
71,p4,1
72,p3,2
73,p1,1
74,p4,1
75,p2,2
76,p1,2
77,p4,2
78,p2,1
79,p1,2
80,p4,2
81,p2,1
82,p2,2
83,p2,1
84,p2,2
85,p4,1
86,p2,2
87,p2,1
88,p4,2
89,p4,1
90,p2,2
91,p2,1
92,p4,2
93,p4,1
94,p2,2
95,p2,1
96,p4,2
97,p2,1
98,p2,2
99,p2,2
