,0,1
0,p2,1
1,p3,1
2,p1,1
3,p3,2
4,p4,1
5,p2,2
6,p3,1
7,p1,2
8,p1,1
9,p3,2
10,p4,1
11,p4,2
12,p1,1
13,p1,2
14,p2,1
15,p4,2
16,p3,1
17,p1,2
18,p2,1
19,p2,2
20,p3,1
21,p3,2
22,p2,1
23,p2,2
24,p4,1
25,p2,2
26,p1,1
27,p3,2
28,p3,1
29,p1,2
30,p2,1
31,p4,2
32,p2,1
33,p2,2
34,p1,1
35,p2,1
36,p3,2
37,p2,2
38,p4,1
39,p2,2
40,p3,1
41,p4,1
42,p1,2
43,p4,2
44,p3,1
45,p3,2
46,p4,1
47,p3,1
48,p4,2
49,p3,2
50,p4,1
51,p4,2
52,p1,1
53,p3,2
54,p3,1
55,p1,2
56,p2,1
57,p3,1
58,p4,2
59,p3,2
60,p3,1
61,p3,2
62,p2,1
63,p2,2
64,p3,1
65,p3,2
66,p4,1
67,p2,2
68,p2,1
69,p4,2
70,p1,1
71,p3,2
72,p4,1
73,p2,2
74,p3,1
75,p2,1
76,p1,2
77,p4,2
78,p4,1
79,p2,2
80,p3,1
81,p3,2
82,p4,1
83,p1,1
84,p4,2
85,p3,2
86,p2,1
87,p4,2
88,p2,1
89,p1,2
90,p2,2
91,p4,1
92,p2,2
93,p4,1
94,p4,2
95,p2,1
96,p4,2
97,p2,1
98,p2,2
99,p2,2
