,0,1
0,p3,1
1,p2,1
2,p4,1
3,p2,2
4,p3,1
5,p3,2
6,p2,1
7,p3,1
8,p4,2
9,p1,1
10,p4,1
11,p3,2
12,p2,1
13,p3,2
14,p2,1
15,p2,2
16,p1,1
17,p4,1
18,p4,2
19,p2,2
20,p2,1
21,p3,1
22,p1,2
23,p2,2
24,p4,1
25,p3,1
26,p4,2
27,p1,2
28,p3,1
29,p4,1
30,p2,2
31,p3,2
32,p1,1
33,p2,1
34,p3,2
35,p4,1
36,p4,2
37,p3,1
38,p2,1
39,p3,2
40,p4,2
41,p4,1
42,p3,1
43,p2,2
44,p1,2
45,p1,1
46,p4,1
47,p4,2
48,p1,1
49,p2,2
50,p4,1
51,p4,1
52,p3,2
53,p3,1
54,p3,2
55,p2,1
56,p3,1
57,p4,2
58,p2,1
59,p1,2
60,p3,1
61,p4,2
62,p4,1
63,p4,2
64,p3,1
65,p2,1
66,p1,2
67,p4,2
68,p4,1
69,p2,1
70,p3,2
71,p3,1
72,p2,2
73,p3,2
74,p2,2
75,p1,1
76,p3,2
77,p1,1
78,p4,2
79,p2,2
80,p4,2
81,p1,1
82,p3,2
83,p2,2
84,p1,1
85,p3,2
86,p1,2
87,p1,1
88,p1,2
89,p1,2
90,p1,2
91,p1,1
92,p1,2
93,p1,1
94,p1,2
95,p3,1
96,p1,2
97,p1,1
98,p3,2
99,p1,2
