,0,1
0,p4,1
1,p1,1
2,p4,1
3,p4,2
4,p3,1
5,p1,2
6,p3,1
7,p3,2
8,p4,1
9,p4,2
10,p1,1
11,p3,2
12,p2,1
13,p4,2
14,p1,1
15,p1,2
16,p2,1
17,p3,1
18,p2,2
19,p1,2
20,p4,1
21,p2,2
22,p3,1
23,p3,2
24,p4,1
25,p4,2
26,p2,1
27,p4,2
28,p3,1
29,p3,2
30,p4,1
31,p2,2
32,p1,1
33,p3,2
34,p1,1
35,p2,1
36,p1,2
37,p3,1
38,p4,2
39,p2,1
40,p1,2
41,p2,2
42,p2,1
43,p1,1
44,p2,2
45,p3,2
46,p2,1
47,p2,2
48,p1,1
49,p1,2
50,p4,1
51,p2,2
52,p3,1
53,p1,2
54,p2,1
55,p4,2
56,p3,1
57,p3,2
58,p1,1
59,p3,2
60,p1,1
61,p1,2
62,p2,1
63,p2,2
64,p4,1
65,p2,2
66,p1,1
67,p1,2
68,p2,1
69,p4,2
70,p1,1
71,p1,2
72,p4,1
73,p2,2
74,p1,1
75,p1,2
76,p2,1
77,p4,2
78,p1,1
79,p2,1
80,p1,2
81,p2,2
82,p3,1
83,p1,2
84,p2,1
85,p2,2
86,p2,1
87,p2,2
88,p1,1
89,p3,2
90,p4,1
91,p2,2
92,p2,1
93,p1,1
94,p4,2
95,p1,2
96,p2,2
97,p3,1
98,p1,2
99,p3,2
